comm_id,sent_at,sender,recipient,subject,key_extracted_claims,urgency
COMM-EMAIL-101,2026-08-04T16:30:00Z,procurement@apexdistributors.com,regional_sales_east@insightpilot.corp,Holding Q3 re-orders pending Atlanta stock resolution & competitor pricing match,"Holding 24,000 unit order for SKU-8821; Competitor Horizon Foods offering 15% discount on equivalent line; Atlanta DC backorders past 10 days",HIGH
COMM-EMAIL-102,2026-08-07T15:40:00Z,orders@midatlanticsupply.com,regional_sales_east@insightpilot.corp,Critical delivery delay notice on SKU-8821 and SKU-4410,Fulfillment rate from Atlanta dropped below 70%; Customer plants operating on safety buffer stock; Require expedited transfer from Charlotte DC,HIGH
COMM-EMAIL-103,2026-08-11T13:35:00Z,supplychain@empireind.com,account_exec_nae@insightpilot.corp,PO Deferral Confirmation - NA East Wholesale Program,Deferring PO-DIST-1420 pending availability confirmation; Horizon Foods field rep pitched 15% discount on PurePro line,HIGH
COMM-EMAIL-104,2026-08-14T12:47:00Z,buyer@coastalwholesale.net,regional_sales_east@insightpilot.corp,Status on backordered orders from Atlanta DC,3 partial shipments received in 2 weeks; Requesting emergency freight authorization,MEDIUM
COMM-EMAIL-105,2026-08-18T10:32:00Z,purchasing@apexdistributors.com,commercial_director@insightpilot.corp,Executive escalation: Contract volume commitment risk,Annual tier rebate at risk if Q3 stockout persists; Demand parity pricing against competitor promotion,HIGH
COMM-EMAIL-106,2026-08-22T09:17:00Z,inventory@sunbeltparts.com,logistics_support@insightpilot.corp,Order inquiry and Charlotte transfer update,Received notice of incoming stock transfer from Charlotte DC; Requesting estimated dispatch date,MEDIUM
COMM-EMAIL-107,2026-09-02T15:34:00Z,procurement@apexdistributors.com,regional_sales_east@insightpilot.corp,Resuming partial orders following Atlanta DC recovery,"Placing revised order for 12,000 units SKU-8821; Monitoring lead-time stabilization",MEDIUM
COMM-EMAIL-108,2025-07-11T16:00:00Z,orders@midwestdirect.com,sales_desk@insightpilot.corp,Routine PO acknowledgment & logistics schedule - DIST-MIDWEST-DIRECT,Standard quarterly order planning; confirmed payment receipt,LOW
COMM-EMAIL-109,2025-07-29T13:00:00Z,orders@midatlanticsupply.com,sales_desk@insightpilot.corp,Routine PO acknowledgment & logistics schedule - DIST-MIDATL-SUPPLY,Standard quarterly order planning; confirmed payment receipt,LOW
COMM-EMAIL-110,2025-08-06T13:00:00Z,orders@midwestdirect.com,sales_desk@insightpilot.corp,Routine PO acknowledgment & logistics schedule - DIST-MIDWEST-DIRECT,Standard quarterly order planning; confirmed payment receipt,LOW
COMM-EMAIL-111,2025-08-16T10:00:00Z,orders@midwestdirect.com,sales_desk@insightpilot.corp,Routine PO acknowledgment & logistics schedule - DIST-MIDWEST-DIRECT,Standard quarterly order planning; confirmed payment receipt,LOW
COMM-EMAIL-112,2025-08-26T09:00:00Z,ops@greatlakessupply.com,sales_desk@insightpilot.corp,Routine PO acknowledgment & logistics schedule - DIST-GREATLAKES-SUPPLY,Standard quarterly order planning; confirmed payment receipt,LOW
COMM-EMAIL-113,2025-08-28T12:00:00Z,orders@midatlanticsupply.com,sales_desk@insightpilot.corp,Routine PO acknowledgment & logistics schedule - DIST-MIDATL-SUPPLY,Standard quarterly order planning; confirmed payment receipt,LOW
